21514 20160101 2300 20160101 1300  2.424 -155.58   19.54    12.1    11.8    13.0    10.6     0.0    835 0    840 0    826 0 C    33.3 0    35.9 0    30.6 0     3 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 0000 20160101 1400  2.424 -155.58   19.54    13.3    13.0    13.7    12.0     0.0    798 0    829 0    755 0 C    33.8 0    36.5 0    30.6 0     3 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 0100 20160101 1500  2.424 -155.58   19.54    12.1    12.4    13.3    11.6     0.0    692 0    756 0    614 0 C    30.2 0    31.1 0    29.2 0     9 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 0200 20160101 1600  2.424 -155.58   19.54    11.3    11.2    12.5    10.6     0.0    516 0    614 0    414 0 C    26.8 0    29.4 0    22.6 0    28 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 0300 20160101 1700  2.424 -155.58   19.54     9.8    10.1    11.3     9.6     0.0    299 0    414 0    188 0 C    18.4 0    22.6 0    13.6 0    38 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 0400 20160101 1800  2.424 -155.58   19.54     8.5     9.3     9.8     8.5     0.0     71 0    187 0      0 0 C     9.3 0    13.6 0     5.3 0    24 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 0500 20160101 1900  2.424 -155.58   19.54     7.2     7.7     8.5     7.2     0.0      0 0      0 0      0 0 C     3.6 0     5.3 0     2.0 0     8 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 0600 20160101 2000  2.424 -155.58   19.54     6.5     6.8     7.2     6.5     0.0      0 0      0 0      0 0 C     1.3 0     2.0 0     0.5 0     3 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 0700 20160101 2100  2.424 -155.58   19.54     6.7     6.1     6.7     5.5     0.0      0 0      0 0      0 0 C     0.0 0     0.5 0    -1.3 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160102 0800 20160101 2200  2.424 -155.58   19.54     6.4     6.4     7.4     4.9     0.0      0 0      0 0      0 0 C    -2.1 0    -1.3 0    -2.7 0     5 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
